pose_id,right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,right_wrist_right_elbow_right_shoulder,left_wrist_left_elbow_left_shoulder
659,37.537735,40.891403,8.750214,176.88164,178.34424,83.98815,68.675606
660,31.672623,30.471348,6.657996,178.35907,179.19667,109.667946,84.47501
661,63.300346,69.236534,72.47945,142.7576,152.24971,76.35978,77.63718
662,65.08842,46.630924,18.807692,170.04886,163.48694,96.17983,57.678738
663,58.569504,38.37573,10.597096,173.26273,174.70297,92.704185,120.77298
664,114.529015,107.78778,155.89307,116.94911,48.729748,154.423,116.47418
665,90.97825,62.284027,68.576065,164.06143,173.21504,112.79079,100.39266
666,22.92736,29.566866,24.901396,171.78477,171.80086,125.81478,113.12634
667,23.883793,39.16503,25.47705,166.35522,173.18407,120.05553,73.67986
668,21.470884,64.1938,22.168242,177.19604,172.01083,135.20816,88.95899
669,19.87462,41.360172,24.820694,175.8462,169.8118,121.10359,99.39369
670,20.65843,45.263744,24.586367,172.72119,173.88765,119.6717,75.386314
671,36.667442,31.046091,15.919418,178.04234,170.5136,124.35303,145.9765
672,29.9133,32.561226,8.8675375,164.90086,163.25478,89.402306,98.98895
673,25.146551,36.10261,11.616438,168.2728,162.5563,90.661095,80.01619
674,24.364454,33.553547,6.792029,171.42738,169.22636,103.71118,93.48426
675,98.20401,81.72707,77.29359,156.8824,164.62793,108.547775,114.1449
676,106.05316,86.79287,82.37025,152.55394,159.77586,125.21332,124.682846
677,108.49631,78.23165,84.04709,150.18695,160.12123,117.527985,133.05595
678,48.55442,42.556877,41.879993,115.80104,110.55797,132.32835,115.442184
679,45.187237,46.160152,49.65375,117.929886,102.09795,145.35873,65.01455
680,97.19603,95.91738,82.085075,138.21396,138.26906,138.09587,151.82649
681,104.51524,99.53172,84.17703,137.21213,142.51254,130.78792,154.20547
682,84.26011,93.277695,79.218254,152.13344,151.63643,131.84746,80.79605
683,13.19178,16.246529,26.731491,164.2702,166.83356,114.98567,122.14812
684,99.82189,78.88963,109.489456,152.90039,110.49834,118.24932,138.96568
685,99.94642,89.6088,95.39105,140.53882,136.88602,150.27577,127.007744
686,68.660866,32.408554,26.447378,175.95488,177.59465,72.21732,139.55617
687,45.34596,26.87775,25.487782,174.5022,176.74309,90.81672,134.54904
688,23.933155,94.07114,52.035133,150.1125,169.33847,107.0495,119.01309
689,56.94491,98.6602,42.08142,151.4095,165.4513,129.48715,117.50464
690,40.055992,42.2629,37.211014,170.83624,172.49442,128.68109,69.24862
691,53.66123,96.37746,92.30815,124.08953,142.10735,123.58262,129.51863
692,59.291462,18.731785,19.498493,172.00288,167.22514,107.75197,141.60677
693,15.835996,27.810417,9.001519,179.21191,172.17407,144.86069,128.17892
694,97.6668,89.44143,82.20425,154.82265,159.3737,144.3489,151.54462
695,60.4156,64.38619,75.770035,167.39871,161.72313,79.32362,73.875694
696,64.700554,23.820953,30.490353,169.11647,173.07336,87.51412,151.79417
697,80.48006,69.75874,70.50521,163.48865,175.0133,90.60429,110.7013
698,80.34476,86.48746,70.00091,160.21956,144.04492,114.36456,94.86084
699,28.619434,84.9957,24.82123,168.71336,159.18138,117.254654,118.885704
700,36.30058,41.0227,43.759888,166.76843,160.33133,103.31415,106.91223
701,79.25263,84.38044,85.50788,155.02211,160.09195,140.91592,145.93402
702,100.60063,77.518486,116.78847,146.31204,159.2519,144.00523,151.49379
703,37.42472,30.584806,38.495567,166.5779,167.99011,139.62682,84.80068
704,23.091433,28.833591,27.869307,167.58614,162.20221,71.08298,85.13769
705,30.850607,47.58316,27.116257,160.60057,170.61404,107.01073,61.75518
706,21.816374,58.30704,21.628052,174.50342,167.36945,139.82878,89.470566
707,15.51123,29.849977,32.59613,167.53592,166.49518,113.35121,113.06443
708,73.92818,60.593056,57.16981,154.93553,168.37296,117.82969,134.52983
709,49.446194,97.05102,86.870735,154.41248,165.01949,122.08681,107.723564
710,40.709606,147.61433,82.09683,86.62428,65.15716,154.1838,145.76715
711,16.266304,73.41591,20.054605,171.95323,172.41446,154.89029,70.528625
712,59.48764,35.83072,61.75968,158.8649,170.32649,101.463745,135.28946
713,23.621916,43.00921,44.142555,159.35432,154.29668,80.49195,90.916695
714,19.838997,17.449553,13.6210375,173.78633,178.08377,57.246803,51.95496
715,30.407167,29.562525,26.276415,168.22667,168.96658,139.35251,97.4635
716,10.098295,29.490484,8.963328,176.11969,172.16124,120.83033,113.79195
717,78.271324,106.90929,52.086266,160.37952,164.50209,144.76569,152.75305
718,34.973614,29.287815,15.942286,165.83989,163.49388,75.16155,121.52144
719,64.98881,57.944008,44.208893,159.65407,163.84767,129.12946,73.681885
720,106.806984,84.18047,72.1797,165.23799,168.75482,158.06355,142.78763
721,52.885384,61.93853,78.39236,162.04834,156.44316,70.98179,57.112072
722,42.0278,30.355408,9.15751,177.56409,178.57948,78.24744,124.14794
723,37.987217,33.41425,8.427321,176.96204,179.84297,88.6721,78.70148
724,29.527578,52.917126,62.923485,168.29747,171.21202,68.197014,145.98135
725,40.64324,38.528484,12.472863,169.55005,171.94247,80.14738,59.160465
726,44.579697,20.1093,57.47332,168.78299,174.81384,137.9368,90.08914
727,43.053146,54.151993,64.763504,118.83731,138.41957,162.19176,160.11856
728,4.2264214,43.380573,58.141197,168.197,168.10414,93.03847,83.64466
729,43.673897,51.23417,16.82647,171.32147,170.59267,108.690994,93.61105
730,10.187462,69.71847,20.109974,163.59549,159.5718,138.20523,105.66251
731,58.210876,55.532055,11.350153,158.57262,170.1728,157.72426,164.523
732,36.95947,44.163326,61.778366,160.3056,152.33894,76.61346,103.26172
733,37.189728,31.036993,53.46918,172.90361,170.29863,94.183075,133.02716
734,81.35121,112.28713,88.07314,150.20248,172.08679,136.2538,137.50624
735,81.98105,66.94356,65.770744,165.40778,175.02605,99.39641,104.134995
736,27.10139,23.821577,20.807396,172.06358,172.81262,114.7918,100.38903
737,77.38341,83.4733,87.220795,158.16585,155.56816,158.20963,77.651634
738,53.00053,39.841446,69.1796,162.9716,166.48595,134.99936,90.935585
739,72.54897,111.46584,86.67364,146.66112,149.43224,154.04039,141.9093
740,52.708084,51.916405,77.91994,160.63834,157.8315,72.85699,67.49157
741,69.69306,97.99529,101.503174,154.4933,144.88821,115.628334,107.501854
742,44.050392,36.440193,57.150898,169.92682,147.4481,149.4195,108.88427
743,47.244556,26.126026,89.627144,166.32832,146.14552,153.98703,86.67914
744,14.991952,71.82071,32.810497,170.66762,165.11008,157.49722,103.78835
745,64.06679,48.570126,45.363033,124.34057,138.2994,44.780113,100.740906
746,96.91117,79.74744,34.26543,156.67845,158.08736,105.88332,169.7472
747,7.489149,52.927723,13.617165,165.13641,172.91716,147.50679,142.54817
748,41.196686,17.247776,36.93414,153.777,167.33705,103.10152,151.54195
749,45.39787,40.51603,8.779148,174.87305,178.97798,50.70687,38.48908
750,16.888344,31.899328,20.596369,176.43188,171.40508,104.36346,110.02285
751,32.129562,30.202566,8.845977,177.0082,176.72678,96.74139,103.73321
752,29.40983,30.179298,25.617105,160.14838,157.91885,109.325966,164.89949
753,31.423548,33.103336,29.69985,171.15582,167.36865,121.662735,74.88955
754,75.2233,55.44742,54.590652,170.43884,169.0829,82.92871,114.65726
755,33.267456,20.982405,23.474592,171.34589,161.70999,138.97377,126.532814
756,28.164894,35.151775,75.49963,171.09854,162.34897,112.12367,75.30746
757,37.273357,23.64444,34.529266,123.575325,118.8858,129.5038,151.50774
758,52.002155,16.073677,83.93233,160.21983,153.76828,126.99022,111.24618
759,65.55527,60.533928,76.74549,174.80547,157.5399,84.680984,43.343388
760,17.912039,37.066196,76.57996,168.56078,169.93993,77.872665,60.461338
761,96.55236,74.75009,25.464424,167.02884,154.80138,147.13455,138.26846
762,88.719406,85.349396,14.99603,169.84947,172.36314,172.98267,142.44864
763,72.19701,79.19104,82.694305,153.67513,150.60509,117.88581,147.54259
764,59.215393,80.910126,82.39931,157.42012,153.93875,130.02576,165.42348
765,56.503925,66.39899,12.909314,70.48487,67.828316,129.77829,118.89781
766,83.12315,107.457954,37.026806,158.70416,132.01862,151.66226,166.13058
767,87.25092,78.34547,19.566286,172.48265,168.07753,161.665,155.43335
768,88.497696,86.15563,17.951315,172.87251,166.63576,131.5492,123.0117
769,63.406734,55.723774,13.6994295,167.8314,164.10274,142.91345,137.81447
770,58.821224,56.761806,20.142736,151.45332,155.16869,154.59726,154.27708
771,81.24336,75.19573,36.614277,171.93852,151.13997,158.48415,160.89511
772,70.119415,63.633503,20.72563,165.6687,162.03958,163.43893,167.27977
773,99.0138,94.54652,57.779987,156.13388,164.05223,125.6503,148.50516
774,97.14751,93.754,61.868412,158.62233,166.03052,121.292595,145.19638
775,71.413536,80.011314,71.59183,158.58386,160.14758,128.80132,151.23705
776,72.37869,77.89691,69.790695,163.36324,167.26636,132.093,151.81612
777,56.282383,81.03252,18.619085,175.57161,169.43729,135.92392,172.67639
778,60.11163,78.57891,16.410093,168.11354,169.61061,138.82361,171.62999
779,56.965107,77.80222,19.178839,175.39299,169.12953,135.12419,169.4936
780,137.19615,135.35344,36.514297,127.5396,147.38844,156.97827,156.41939
781,167.48235,172.89253,30.403475,156.55783,149.92493,155.07376,173.71103
782,90.824936,83.39538,18.898443,152.37444,145.58202,139.80618,133.84773
